;idx;category;name;url;keywords;desc;desc_rapport;url_corrected;url_final;ydt_id;Label;timeset;isseed;seedrank;subscribercount;videocount;viewcount(100s);country;publishedat;daysactive
134;249;Audio-visuel, cinéma et jeu vidéo;Benjamin Cerbai;https://www.youtube.com/user/B3nc3r;Animation-dessin;« Sur cette chaîne découvrez des vidéos de conseils et de motivation pour vous aider à créer vos images et raconter vos histoires.»;;https://www.youtube.com/channel/UCVL2B0RUBPhOBjtKejLeIcg;https://www.youtube.com/channel/UCVL2B0RUBPhOBjtKejLeIcg;UCVL2B0RUBPhOBjtKejLeIcg;Benjamin Cerbai;;yes;32;38059;588;25599;FR;2010-01-30T10:53:40.000Z;3544
135;275;Audio-visuel, cinéma et jeu vidéo;Simon sees;https://www.youtube.com/channel/UCN2fQteC9VUUK6JmjVGr49g;Analyse de plan-théorie du Cinéma;;Chroniques de film et série sur les clichés au cinéma.;;https://www.youtube.com/channel/UCN2fQteC9VUUK6JmjVGr49g;UCN2fQteC9VUUK6JmjVGr49g;Simon Sees;;yes;31;1776;22;626;not set;2015-01-30T15:54:30.000Z;1718
136;262;Audio-visuel, cinéma et jeu vidéo;Le Clap;https://www.youtube.com/channel/UC0JoDo2A6C8iKjcvaLO-Z3w;Films grand public-comparaison de film / remake;« Salut à toi inconnu !»;;;https://www.youtube.com/channel/UC0JoDo2A6C8iKjcvaLO-Z3w;UC0JoDo2A6C8iKjcvaLO-Z3w;Le Clap;;yes;30;11733;36;3758;FR;2015-06-04T11:18:43.000Z;1593
137;96;Philosophie et esprit critique;Parle-moi de philo;https://www.youtube.com/channel/UCLVy1G4ns5D4qPttvE4Cmcg;Philosophie générale-baccalauréat;« Parle-moi de Philo, c'est une envie de partager ma passion (oui, le mot est lâché) pour la philosophie. C'est un besoin de montrer une autre facette de la philo : ce n'est pas juste une discipline qui sert à se torturer le cerveau. C'est une merveilleuse façon d'appréhender le monde, l'actualité, les autres, et puis aussi une façon de s'aider au quotidien face à ses doutes et ses interrogations. Bref, on va beaucoup s'amuser. Si si je vous assure. »;;;https://www.youtube.com/channel/UCLVy1G4ns5D4qPttvE4Cmcg;UCLVy1G4ns5D4qPttvE4Cmcg;Parle-Moi de Philo;;yes;222;9031;15;3884;not set;2017-09-18T16:10:30.000Z;756
138;104;Économie;Le Réveilleur;https://www.youtube.com/channel/UC1EacOJoqsKaYxaDomTCTEQ;Environnement-pollution-réchauffement climatique-économie;« Les connaissances que j'ai accumulées m'ont convaincu que les impacts environnementaux vont considérablement changer la façon dont nos sociétés se pensent et s'organisent.»;;;https://www.youtube.com/channel/UC1EacOJoqsKaYxaDomTCTEQ;UC1EacOJoqsKaYxaDomTCTEQ;Le Réveilleur;;yes;356;41976;56;12082;FR;2015-03-31T12:25:07.000Z;1658
139;132;Physique-chimie et astronomie;Le Réveilleur;https://www.youtube.com/channel/UC1EacOJoqsKaYxaDomTCTEQ;Environnement-pollution-réchauffement climatique-économie;« Les connaissances que j'ai accumulées m'ont convaincu que les impacts environnementaux vont considérablement changer la façon dont nos sociétés se pensent et s'organisent.»;;;https://www.youtube.com/channel/UC1EacOJoqsKaYxaDomTCTEQ;UC1EacOJoqsKaYxaDomTCTEQ;Le Réveilleur;;yes;356;41976;56;12082;FR;2015-03-31T12:25:07.000Z;1658
140;102;Philosophie et esprit critique;Un monde riant;https://www.youtube.com/user/TheBigpeha;Zététique et journalisme-esprit critique appliqué à l’actualité;« Je repasse derrière les approximations scientifiques de la presse grand public. Et y'a du boulot... »;;https://www.youtube.com/channel/UC8T_vTz76WUsudvxPk6SLEw;https://www.youtube.com/channel/UC8T_vTz76WUsudvxPk6SLEw;UC8T_vTz76WUsudvxPk6SLEw;Un Monde Riant;;yes;212;20627;54;6807;not set;2011-10-17T10:11:27.000Z;2919
141;113;Mathématiques;Math un peu ça;https://www.youtube.com/channel/UCGzrP5k8VwAPqs1F5Dr8khA;Mathématiques-informatique-probabilités-statistiques-théorie des jeux-Histoire;« De la vulgarisation orientée vers les mathématiques appliquées et l'informatique.»;;;https://www.youtube.com/channel/UCGzrP5k8VwAPqs1F5Dr8khA;UCGzrP5k8VwAPqs1F5Dr8khA;Math un peu ça;;yes;173;905;9;251;not set;2017-02-22T23:48:45.000Z;964
142;98;Philosophie et esprit critique;Politikon;https://www.youtube.com/channel/UC0HxyEc_ojRJ1oJXS5K6oaA;Philosophie politique-questions sociales;« Politikon est une chaîne qui présente des théories sociales et politiques en philosophie et sciences humaines. »;;;https://www.youtube.com/channel/UC0HxyEc_ojRJ1oJXS5K6oaA;UC0HxyEc_ojRJ1oJXS5K6oaA;Politikon;;yes;220;28292;55;8624;FR;2016-03-21T22:10:45.000Z;1302
143;93;Philosophie et esprit critique;Monsieur Phi;https://www.youtube.com/channel/UCqA8H22FwgBVcF3GJpp0MQw;Philosophie;« Prof de philo le jour, YouTuber la nuit. Sauf que je me suis mis en disponibilité. Donc YouTuber le jour aussi.»;;;https://www.youtube.com/channel/UCqA8H22FwgBVcF3GJpp0MQw;UCqA8H22FwgBVcF3GJpp0MQw;Monsieur Phi;;yes;219;115146;102;57594;FR;2016-07-14T15:32:42.000Z;1187
