Ordre;Discipline;Nom de la chaine YouTube;URL de la chaine YouTube;Mots-clés;Description (par le/la vidéaste);Description (par l'auteure du rapport)
75.0;Société et éducation civique;Mondes sociaux;https://www.youtube.com/channel/UC4Jrte_YtwWfANKNyzse5iA;Questions de Société;« Mondes Sociaux est un magazine numérique francophone qui entend contribuer à la circulation internationale des connaissances et à la mise en visibilité dans et hors du champ académique de travaux de sciences humaines et sociales, tout en proposant des éclairages sur des questions de société et des débats d’idées. Il est porté par le LabEx Structuration des Mondes Sociaux à Toulouse. »;
77.0;Société et éducation civique;Point de vue social;https://www.youtube.com/channel/UCK6mlWEjd5-wK1aOqL2zKQQ;Médico-social;« Point de vue social est une chaîne d'information et de sensibilisation au milieu du médico-social et des organismes d'aide à la personne en général. A l'aide de différents formats d'émissions, l'équipe de PDVS tente, non sans humour, de présenter l'envers du décor ainsi que le travail de ses différents acteurs.»;
79.0;Société et éducation civique;Thinkersview;https://www.youtube.com/user/thinkerview;Entretien-interview-professionnels-politique-économie-écologie;"« ThinkerView est un groupe indépendant issu d'internet, très diffèrent de la plupart des think-tanks qui sont inféodés à des partis politiques ou des intérêts privés."" Marc Ullmann.»";
86.0;Philosophie et esprit critique;DeBunker des Etoiles;https://www.youtube.com/channel/UC_56vSO35nctESDan8agevg;Esprit critique-complotisme-conspirationnisme-Société;« Avec le Debunker des Etoiles, luttons contre les théories conspirationnistes et les superstitions diverses qui polluent internet ! »;
84.0;Philosophie et esprit critique;Damastès;https://www.youtube.com/channel/UCeLaThEwJRMUg_4HSp8KZEQ;Jeux vidéo;;Réflexions poétiques et philosophiques sur les jeux vidéo (à regarder jusqu’au bout car les conclusions philosophiques arrivent au plus tôt en milieu de vidéo).
78.0;Société et éducation civique;Post Modem;https://www.youtube.com/channel/UC3tDSxRqv6ZUAA5jAgULlhg;Sociologie-geek;« Bienvenue sur PostModem, une chaîne YouTube à notre image (peu glorieuse...). Au programme : humour, sociologie et culture geek !»;
88.0;Philosophie et esprit critique;Esprit Critique;https://www.youtube.com/channel/UC0yPCUmdMZIGtnxSnx5_ifA;Esprit critique-objectivité / subjectif-politique;« Esprit Critique est une chaîne pour développer bah... votre esprit critique.»;
83.0;Philosophie et esprit critique;Cyrus North;https://www.youtube.com/user/LeCoupdePhil;Philosophie-Braintertainment;« Braintertainment Creator. All my videos (or almost) are subtitled in english! :)»;
66.0;Société et éducation civique;ContraDico;https://www.youtube.com/channel/UCaiaO62ZVJdxqlsV-WiHKuw;Société;« Salut et bienvenu à toi dans le temple de la contradiction !»;
65.0;Société et éducation civique;Codes&Co;https://www.youtube.com/channel/UCJYKp6eGV9FhPoiBUzoztSg;Droit-Société;« Bonjour les gens, juristes ou non ! Le droit, c'est cool et je vous assure qu'on peut se marrer ! Si vous voulez en savoir plus sur vos droits et les règles invisibles qui vous entourent vous êtes au bon endroit ! Petite juriste en master en droit, qui a passé ses deux premières années en France et qui a émigré en Espagne pour finir son diplôme, je veux essayer de vous faire découvrir le droit sous un autre point de vue, plus fun que nos cours magistraux ou les débats au Parlement. »;
55.0;Géographie et géopolitique;Le quatrième mur;https://www.youtube.com/channel/UCIogkaC9Y6sRbzcz04_66oA;Urbanisme-architecture;« Dans un monde sombre où le commun des mortels n'a pas appris à ouvrir les yeux... Dans un monde froid où l'architecture et l'urbanisme n'est connu que par une poignée... Il existe un Mur. Un Mur a deux faces qui s'appuie sur les films et les séries pour parler de la réalité. Bienvenue chez le Quatrième Mur ! »;
63.0;Société et éducation civique;Camille décode;https://www.youtube.com/channel/UCWHZkABcR34T276qySN8xTA;Droit-Société-civil-actualité;« Je dois décrire ma chaine mais le problème c'est que si je te dis que c'est une chaine de droit... tu vas pas regarder mes vidéos ! L'autre problème c'est que si je te dis que je fais justement du droit pour des gens qui n'en font pas... tu vas pas regarder mes vidéos non plus !»;
57.0;Géographie et géopolitique;Point G;https://www.youtube.com/channel/UCBo6bcRr2D9UnkMbgeEEMbw;Géographie-géopolitique-économie-Histoire-actualité;"« Le point G... avec un G comme ""Géographie"" : mieux comprendre un bout du globe en 5 minutes, grâce à un livre, une question, et quelques pistes de réflexion. Géopolitique, développement, frontières, inégalités, économie, histoire... tout y passe ! »";
53.0;Géographie et géopolitique;Histoire-géo au tableau;https://www.youtube.com/channel/UCKnQwqEcbWMu1qdOnayfbWA;Etudes de cas-baccalauréat-lycée-géographie-géopolitique;« LES CHAPITRES DU PROGRAMME D’HISTOIRE GEO EN VIDEO ET EN UNE DEMI-HEURE »;
